"DOI","year","title","citCounts"
"84","10.1214/10-AOS850",2011,"Estimation of (near) low-rank matrices with noise and high-dimensional scaling",2
"85","10.1214/10-AOS858",2011,"Localized spherical deconvolution",0
"86","10.1214/10-AOS849",2011,"Testing composite hypotheses, {H}ermite polynomials and optimal estimation of a nonsmooth functional",0
"87","10.1214/10-AOS828",2011,"Kernel estimators of asymptotic variance for adaptive {M}arkov chain {M}onte {C}arlo",0
"88","10.1214/10-AOS820",2011,"A two-stage hybrid procedure for estimating an inverse regression function",0
"89","10.1214/10-AOS815",2011,"A trigonometric approach to quaternary code designs with application to one-eighth and one-sixteenth fractions",0
"90","10.1214/10-AOS860",2011,"Estimation of high-dimensional low-rank matrices",4
"91","10.1214/10-AOS859",2011,"Global identifiability of linear structural equation models",0
"92","10.1214/10-AOS857",2011,"Bayesian analysis of variable-order, reversible {M}arkov chains",0
"93","10.1214/10-AOS856",2011,"Estimation for {L}\'evy processes from high frequency data within a long time interval",0
"94","10.1214/10-AOS855",2011,"Asymptotic equivalence for inference on the volatility from noisy observations",0
"95","10.1214/10-AOS854",2011,"Exponential screening and optimal rates of sparse estimation",1
"96","10.1214/10-AOS853",2011,"Approximation by log-concave distributions, with applications to regression",0
"97","10.1214/10-AOS831",2011,"Consistency of {M}arkov chain quasi-{M}onte {C}arlo on continuous state spaces",0
"98","10.1214/10-AOS851",2011,"Immigrated urn models---theoretical properties and applications",0
"99","10.1214/10-AOS848",2011,"Multiple testing via {${\rm FDR}_L$} for large-scale imaging data",0
"100","10.1214/10-AOS847",2011,"Exact calculations for false discovery proportion with application to least favorable configurations",0
"101","10.1214/10-AOS844",2011,"Power-enhanced multiple decision functions controlling family-wise error and false discovery rates",1
"102","10.1214/10-AOS841",2011,"Wishart distributions for decomposable covariance graph models",3
"103","10.1214/10-AOS834",2011,"Consistency of the maximum likelihood estimator for general hidden {M}arkov models",0
"104","10.1214/10-AOS822",2011,"Effects of statistical dependence on multiple testing under a hidden {M}arkov model",0
"105","10.1214/10-AOS804",2011,"Monotone spectral density estimation",0
"106","10.1214/10-AOS846",2011,"G{EE} analysis of clustered binary data with diverging number of covariates",0
"107","10.1214/10-AOS845",2011,"Functional single index models for longitudinal data",0
"108","10.1214/10-AOS843",2011,"Rates of convergence in active learning",0
"109","10.1214/10-AOS842",2011,"New efficient estimation and variable selection methods for semiparametric varying-coefficient partially linear models",2
"110","10.1214/10-AOS839",2011,"Detection of an anomalous cluster in a network",0
"111","10.1214/10-AOS838",2011,"A vanilla {R}ao-{B}lackwellization of {M}etropolis-{H}astings algorithms",0
"112","10.1214/10-AOS837",2011,"Nonparametric estimation of surface integrals",0
"113","10.1214/10-AOS836",2011,"Global uniform risk bounds for wavelet deconvolution estimators",1
"114","10.1214/10-AOS832",2011,"Focused information criterion and model averaging for generalized additive partial linear models",0
"115","10.1214/10-AOS830",2011,"Causal inference for continuous-time processes when covariates are observed only at discrete times",0
"116","10.1214/10-AOS827",2011,"{$\ell_1$}-penalized quantile regression in high-dimensional sparse models",2
"117","10.1214/10-AOS823",2011,"Regression on manifolds: estimation of the exterior derivative",0
"118","10.1214/09-AOS776",2011,"Support union recovery in high-dimensional multivariate regression",2
"119","10.1214/10-AOS835",2010,"Estimation and testing for partially linear single-index models",0
"120","10.1214/10-AOS829",2010,"The sequential rejection principle of familywise error control",0
"121","10.1214/10-AOS840",2010,"Nonparametric estimation of multivariate convex-transformed densities",2
"122","10.1214/10-AOS833",2010,"Nonparametric estimate of spectral density functions of sample covariance matrices: a first step",0
"123","10.1214/10-AOS826",2010,"Coordinate-independent sparse sufficient dimension reduction and variable selection",0
"124","10.1214/10-AOS825",2010,"Sparsity in multiple kernel learning",0
"125","10.1214/10-AOS824",2010,"A{NOVA} for longitudinal data with missing values",0
"126","10.1214/10-AOS821",2010,"Convergence and prediction of principal component scores in high-dimensional settings",0
"127","10.1214/10-AOS798",2010,"Sure independence screening in generalized linear models with {NP}-dimensionality",4
"128","10.1214/10-AOS795",2010,"High-dimensionality effects in the {M}arkowitz problem and other quadratic programs with linear constraints: risk underestimation",0
"129","10.1214/09-AOS786",2010,"Empirical dynamics for longitudinal data",2
"130","10.1214/09-AOS775",2010,"On optimality of the {S}hiryaev-{R}oberts procedure for detecting a change in distribution",0
"131","10.1214/09-AOS772",2010,"A reproducing kernel {H}ilbert space approach to functional linear regression",0
"132","10.1214/09-AOS747",2010,"Sequentially interacting {M}arkov chain {M}onte {C}arlo methods",0
"133","10.1214/10-AOS819",2010,"Identifying the finite dimensionality of curve time series",2
"134","10.1214/10-AOS813",2010,"Uniform convergence rates for nonparametric regression and principal component analysis in functional/longitudinal data",0
"135","10.1214/10-AOS811",2010,"Adaptive nonparametric {B}ayesian inference using location-scale mixture priors",0
"136","10.1214/10-AOS810",2010,"Optimal rank-based testing for principal components",0
"137","10.1214/10-AOS805",2010,"Gamma-based clustering via ordered means with application to gene-expression analysis",0
"138","10.1214/10-AOS801",2010,"On information plus noise kernel random matrices",0
"139","10.1214/09-AOS785",2010,"Decomposition tables for experiments. {II}. {T}wo--one randomizations",0
"140","10.1214/09-AOS763",2010,"Nonparametric tests of the {M}arkov hypothesis in continuous-time models",0
"141","10.1214/09-AOS749",2010,"Is {B}rownian motion necessary to model high-frequency data?",1
"142","10.1214/10-AOS817",2010,"On combinatorial testing problems",1
"143","10.1214/10-AOS816",2010,"Deciding the dimension of effective dimension reduction space for functional and high-dimensional data",0
"144","10.1214/10-AOS814",2010,"Quasi-concave density estimation",3
"145","10.1214/10-AOS812",2010,"An efficient estimator for locally stationary {G}aussian long-memory processes",0
"146","10.1214/10-AOS799",2010,"Kernel density estimation via diffusion",0
"147","10.1214/10-AOS809",2010,"Bootstrap consistency for general semiparametric {$M$}-estimation",1
"148","10.1214/10-AOS808",2010,"Backfitting and smooth backfitting for additive quantile models",0
"149","10.1214/10-AOS807",2010,"Trajectory averaging for stochastic approximation {MCMC} algorithms",0
"150","10.1214/10-AOS806",2010,"Adaptive estimation for {H}awkes processes; application to genome analysis",0
"151","10.1214/10-AOS803",2010,"On universal oracle inequalities related to high-dimensional linear models",0
"152","10.1214/10-AOS802",2010,"Nonparametric estimation of genewise variance for microarray data",0
"153","10.1214/10-AOS797",2010,"Generalized density clustering",0
"154","10.1214/10-AOS794",2010,"Modeling the variability of rankings",0
"155","10.1214/10-AOS793",2010,"Sparse recovery under matrix uncertainty",1
"156","10.1214/10-AOS792",2010,"Bayes and empirical-{B}ayes multiplicity adjustment in the variable-selection problem",2
"157","10.1214/10-AOS791",2010,"Fractals with point impact in functional linear regression",0
"158","10.1214/09-AOS790",2010,"Spades and mixture models",0
"159","10.1214/09-AOS787",2010,"On the de la {G}arza phenomenon",1
"160","10.1214/09-AOS783",2010,"M\\"obius deconvolution on the hyperbolic plane with application to impedance density estimation",0
"161","10.1214/10-AOS800",2010,"A deconvolution approach to estimation of a common shape in a shifted curves model",0
"162","10.1214/09-AOS789",2010,"Simultaneous nonparametric inference of time series",0
"163","10.1214/09-AOS784",2010,"Sieve estimation of constant and time-varying coefficients in nonlinear ordinary differential equation models by considering both numerical error and measurement error",1
"164","10.1214/09-AOS782",2010,"Order thresholding",0
"165","10.1214/09-AOS781",2010,"Variable selection in nonparametric additive models",4
"166","10.1214/09-AOS779",2010,"Stochastic kinetic models: dynamic independence, modularity and graphs",0
"167","10.1214/10-AOS796",2010,"Sequential monitoring of response-adaptive randomized clinical trials",1
"168","10.1214/09-AOS769",2010,"Nonparametric inference of quantile curves for nonstationary time series",1
"169","10.1214/09-AOS788",2010,"Limit theorems for empirical processes of cluster functionals",0
"170","10.1214/09-AOS752",2010,"Optimal rates of convergence for covariance matrix estimation",5
"171","10.1214/09-AOS780",2010,"Penalized variable selection procedure for {C}ox models with semiparametric relative risk",0
"172","10.1214/09-AOS770",2010,"Testing conditional independence using maximal nonlinear conditional correlation",0
"173","10.1214/09-AOS762",2010,"Nonparametric regression in exponential families",0
"174","10.1214/09-AOS778",2010,"The benefit of group sparsity",1
"175","10.1214/09-AOS777",2010,"Inconsistency of bootstrap: the {G}renander estimator",3
"176","10.1214/09-AOS754",2010,"Consistency of objective {B}ayes factors as the model dimension grows",0
"177","10.1214/09-AOS774",2010,"Cram\'er-type moderate deviation for the maximum of the periodogram with application to simultaneous tests in gene expression time series",0
"178","10.1214/07-AOS566",2010,"Efficient estimation for a subclass of shape invariant models",2
"179","10.1214/09-AOS768",2010,"Weakly dependent functional data",1
"180","10.1214/09-AOS767",2010,"On convergence rates equivalency and sampling strategies in functional deconvolution models",0
"181","10.1214/09-AOS766",2010,"Asymptotics and optimal bandwidth selection for highest density region estimation",0
"182","10.1214/09-AOS765",2010,"Approximation of conditional densities by smooth mixtures of regressions",1
"183","10.1214/09-AOS764",2010,"Innovated higher criticism for detecting sparse signals in correlated noise",4
"184","10.1214/09-AOS760",2010,"Trek separation for {G}aussian graphical models",0
"185","10.1214/09-AOS743",2010,"Successive normalization of rectangular arrays",1
"186","10.1214/09-AOS771",2010,"Quantile calculus and censored regression",0
"187","10.1214/09-AOS761",2010,"Monotonic convergence of a general algorithm for computing optimal designs",0
"188","10.1214/09-AOS759",2010,"Statistical analysis of {$k$}-nearest neighbor collaborative recommendation",0
"189","10.1214/09-AOS758",2010,"Exact properties of {E}fron's biased coin randomization procedure",1
"190","10.1214/09-AOS756",2010,"Limit theorems for moving averages of discretized processes plus noise",0
"191","10.1214/09-AOS757",2010,"A new and flexible method for constructing designs for computer experiments",1
"192","10.1214/09-AOS755",2010,"Optional {P}\'olya tree and {B}ayesian inference",1
"193","10.1214/09-AOS753",2010,"Estimation in additive models with highly or nonhighly correlated covariates",0
"194","10.1214/09-AOS751",2010,"Adaptive estimation of stationary {G}aussian fields",0
"195","10.1214/09-AOS750",2010,"Adjusted empirical likelihood with high-order precision",0
"196","10.1214/09-AOS746",2010,"Asymptotic distribution of conical-hull estimators of directional edges",0
"197","10.1214/09-AOS691",2010,"High-dimensional {I}sing model selection using {$\ell_1$}-regularized logistic regression",1
"198","10.1214/09-AOS745",2010,"Quantile estimation with adaptive importance sampling",0
"199","10.1214/09-AOS744",2010,"On construction of the smallest one-sided confidence interval for the difference of two proportions",0
"200","10.1214/09-AOS742",2010,"Covariate adjusted functional principal components analysis for longitudinal data",1
"201","10.1214/09-AOS741",2010,"Defining probability density for a distribution of random functions",2
"202","10.1214/09-AOS730",2010,"Vast volatility matrix estimation for high-frequency financial data",3
"203","10.1214/09-AOS738",2010,"Confidence bands in density estimation",3
"204","10.1214/09-AOS737",2010,"On dimension folding of matrix- or array-valued statistical objects",1
"205","10.1214/09-AOS736",2010,"Optimal properties of centroid-based classifiers for very high-dimensional data",0
"206","10.1214/09-AOS735",2010,"Batch means and spectral variance estimators in {M}arkov chain {M}onte {C}arlo",1
"207","10.1214/09-AOS732",2010,"Optimal and fast detection of spatial clusters with scan statistics",1
"208","10.1214/09-AOS731",2010,"Estimation in {D}irichlet random effects models",0
"209","10.1214/09-AOS729",2010,"Nearly unbiased variable selection under minimax concave penalty",13
"210","10.1214/09-AOS725",2010,"On the consistent separation of scale and variance for {G}aussian random fields",0
"211","10.1214/08-AOS629",2010,"Goodness-of-fit tests for high-dimensional {G}aussian linear models",0
"212","10.1214/09-AOS718",2010,"Asymptotic inference for high-dimensional data",0
"213","10.1214/09-AOS716",2010,"A two-sample test for high-dimensional data with applications to gene-set testing",4
"214","10.1214/09-AOS702",2010,"Inference for stochastic volatility models using time change transformations",0
"215","10.1214/09-AOS687",2010,"Maximum {${\rm L}q$}-likelihood estimation",1
"216","10.1214/09-AOS723REJ",2010,"Rejoinder [MR2604670; MR2604671; MR2604672; MR2604673]",1
"217","10.1214/09-AOS723",2010,"Multivariate quantiles and multiple-output regression quantiles: from {$L_1$} optimization to halfspace depth",2
"218","10.1214/09-AOS734",2010,"Balanced control of generalized error rates",1
"219","10.1214/09-AOS733",2010,"Conditional least squares estimation in nonstationary nonlinear stochastic regression models",0
"220","10.1214/09-AOS728",2010,"Regularization in kernel learning",1
"221","10.1214/09-AOS727",2010,"Invariant {$P$}-values for model checking",0
"222","10.1214/09-AOS726",2010,"Empirical risk minimization in inverse problems",0
"223","10.1214/09-AOS724",2010,"Asymptotic efficiency and finite-sample properties of the generalized profiling estimation of parameters in ordinary differential equations",0
"224","10.1214/09-AOS722",2010,"Edgeworth expansions for {S}tudentized statistics under weak dependence",0
"225","10.1214/09-AOS721",2010,"Maximum smoothed likelihood estimation and smoothed maximum likelihood estimation in the current status model",0
"226","10.1214/09-AOS715",2010,"Spectral estimation of the fractional order of a {L}\'evy process",3
"227","10.1214/09-AOS714",2010,"Bayesian analysis in moment inequality models",0
"228","10.1214/09-AOS712",2010,"Estimation for a partial-linear single-index model",2
"229","10.1214/09-AOS710",2010,"Globally optimal parameter estimates for nonlinear diffusions",0
"230","10.1214/09-AOS705",2010,"Asymptotic equivalence of spectral density estimation and {G}aussian white noise",0
"231","10.1214/09-AOS703",2010,"Rates of convergence for the posterior distributions of mixtures of betas and adaptive nonparametric estimation of the density",1
"232","10.1214/09-AOS696",2010,"Optimal rates of convergence for estimating the null density and proportion of nonnull effects in large-scale multiple testing",2
"233","10.1214/08-AOS668",2010,"Some nonasymptotic results on resampling in high dimension. {II}. {M}ultiple tests",2
"234","10.1214/08-AOS667",2010,"Some nonasymptotic results on resampling in high dimension. {I}. {C}onfidence regions",2
"235","10.1214/08-AOS648",2010,"The spectrum of kernel random matrices",1
"236","10.1214/09-AOS706",2009,"Nonlinear principal components and long-run implications of multivariate diffusions",0
"237","10.1214/09-AOS720",2009,"Sparsistency and rates of convergence in large covariance matrix estimation",10
"238","10.1214/09-AOS719",2009,"Efficient estimation of copula-based semiparametric {M}arkov models",0
"239","10.1214/09-AOS717",2009,"Decomposition tables for experiments. {I}. {A} chain of randomizations",1
"240","10.1214/09-AOS713",2009,"Local quasi-likelihood with a parametric guide",0
"241","10.1214/09-AOS711",2009,"Subspace estimation and prediction methods for hidden {M}arkov models",0
"242","10.1214/09-AOS709",2009,"P{CA} consistency in high dimension, low sample size context",3
"243","10.1214/09-AOS708",2009,"A geometric characterization of {$c$}-optimal designs for heteroscedastic regression",1
"244","10.1214/09-AOS707",2009,"Break detection in the covariance structure of multivariate time series models",3
"245","10.1214/09-AOS704",2009,"Testing conditional independence via {R}osenblatt transforms",0
"246","10.1214/09-AOS701",2009,"Detection of spatial clustering with average likelihood ratio test statistics",0
"247","10.1214/09-AOS700",2009,"Data spectroscopy: eigenspaces of convolution operators and clustering",1
"248","10.1214/09-AOS699",2009,"Using the bootstrap to quantify the AUTHORity of an empirical ranking",2
"249","10.1214/09-AOS698",2009,"Specification testing in nonlinear and nonstationary time series autoregression",1
"250","10.1214/09-AOS697",2009,"Karl {P}earson's meta-analysis revisited",0
"251","10.1214/09-AOS695",2009,"Quantile regression in partially linear varying coefficient models",0
"252","10.1214/09-AOS694",2009,"Corrections to {LRT} on large-dimensional covariance matrix by {RMT}",0
"253","10.1214/09-AOS692",2009,"High-dimensional additive modeling",7
"254","10.1214/08-AOS679",2009,"Contour projected dimension reduction",1
"255","10.1214/08-AOS675",2009,"Estimation of trend in state-space models: asymptotic mean square error and rate of convergence",0
"256","10.1214/08-AOS663",2009,"Estimating the {G}umbel scale parameter for local alignment of random sequences by importance sampling with stopping times",0
"257","10.1214/09-AOS688",2009,"A maximum likelihood method for the incidental parameter problem",0
"258","10.1214/08-AOS603",2009,"Building and using semiparametric tolerance regions for parametric multinomial models",0
"259","10.1214/09-AOS690",2009,"Construction of nested space-filling designs",2
"260","10.1214/08-AOS670",2009,"Some results on {$2^{n-m}$} designs of resolution {IV} with (weak) minimum aberration",0
"261","10.1214/08-AOS644",2009,"Existence and construction of randomization defining contrast subspaces for regular factorial designs",0
"262","10.1214/09-AOS693",2009,"Asymptotic theory of semiparametric {$Z$}-estimators for stochastic processes with applications to ergodic diffusions and time series",0
"263","10.1214/08-AOS610",2009,"On nonparametric and semiparametric testing for multivariate linear time series",0
"264","10.1214/09-AOS683",2009,"A unified approach to model selection and sparse recovery using regularized least squares",6
"265","10.1214/07-AOS584",2009,"The composite absolute penalties family for grouped and hierarchical variable selection",5
"266","10.1214/08-AOS669",2009,"A conjugate prior for discrete hierarchical log-linear models",3
"267","10.1214/09-AOS684",2009,"Wavelet regression in random design with heteroscedastic dependent errors",0
"268","10.1214/09-AOS682",2009,"Adaptive density estimation for directional data using needlets",1
"269","10.1214/08-AOS676",2009,"Fixed-domain asymptotic properties of tapered maximum likelihood estimators",4
"270","10.1214/09-AOS686",2009,"Estimation of functional derivatives",2
"271","10.1214/08-AOS673",2009,"On random tomography with unobservable projection angles",0
"272","10.1214/08-AOS671",2009,"On the path density of a gradient field",0
"273","10.1214/08-AOS681",2009,"Asymptotic equivalence and adaptive estimation for robust nonparametric regression",0
"274","10.1214/08-AOS591",2009,"Robust nearest-neighbor methods for classifying high-dimensional data",0
"275","10.1214/08-AOS680",2009,"Goodness-of-fit problem for errors in nonparametric regression: distribution free approach",0
"276","10.1214/09-AOS685",2009,"Estimating high-dimensional intervention effects from observational data",0
"277","10.1214/09-AOS689",2009,"Identifiability of parameters in latent structure models with many observed variables",3
"278","10.1214/08-AOS658",2009,"Asymptotic normality of a nonparametric estimator of sample coverage",0
"279","10.1214/08-AOS656",2009,"Quarter-fraction factorial designs constructed via quaternary codes",1
"280","10.1214/08-AOS655",2009,"Efficient randomized-adaptive designs",3
"281","10.1214/08-AOS651",2009,"Hypothesis test for normal mixture models: the {EM} approach",1
"282","10.1214/08-AOS639",2009,"Consistency of a recursive estimate of mixing distributions",1
"283","10.1214/08-AOS649",2009,"Bayesian frequentist hybrid inference",0
"284","10.1214/08-AOS645",2009,"Asymptotic equivalence of empirical likelihood and {B}ayesian map",0
"285","10.1214/08-AOS643",2009,"On asymptotically optimal tests under loss of identifiability in semiparametric models",1
"286","10.1214/08-AOS662",2009,"A semiparametric model for cluster data",2
"287","10.1214/08-AOS657",2009,"Asymptotic theory for the semiparametric accelerated failure time model with missing data",1
"288","10.1214/08-AOS647",2009,"Consistent estimates of deformed isotropic {G}aussian random fields on the plane",1
"289","10.1214/08-AOS652",2009,"Deconvolution with unknown error distribution",2
"290","10.1214/08-AOS654",2009,"Nonparametric estimation by convex programming",1
"291","10.1214/08-AOS642",2009,"Estimating linear functionals in nonlinear regression with responses missing at random",1
"292","10.1214/08-AOS640",2009,"Estimating the degree of activity of jumps in high frequency data",8
"293","10.1214/08-AOS646",2009,"High-dimensional variable selection",3
"294","10.1214/08-AOS653",2009,"Near-ideal model selection by {$\ell_1$} minimization",3
"295","10.1214/08-AOS659",2009,"Some sharp performance bounds for least squares regression with {$L_1$} regularization",0
"296","10.1214/08-AOS641",2009,"Functional linear regression that's interpretable",1
"297","10.1214/07-AOS556",2009,"Multivariate {A}rchimedean copulas, {$d$}-monotone functions and {$l_1$}-norm symmetric distributions",1
"298","10.1214/08-AOS666",2009,"Improved kernel estimation of copulas: weak convergence and goodness-of-fit testing",0
"299","10.1214/08-AOS672",2009,"Rank-based inference for bivariate extreme-value copulas",1
"300","10.1214/08-AOS677",2009,"Maximum empirical likelihood estimation of the spectral measure of an extreme-value distribution",0
"301","10.1214/08-AOS665",2009,"Properties and refinements of the fused lasso",0
"302","10.1214/08-AOS664",2009,"High-dimensional analysis of semidefinite relaxations for sparse principal components",2
"303","10.1214/08-AOS660",2009,"Conditional predictive inference post model selection",0
"304","10.1214/08-AOS626",2009,"Markov equivalence for ancestral graphs",0
"305","10.1214/08-AOS607",2009,"Parameter tuning in pointwise adaptation using a propagation approach",0
"306","10.1214/08-AOS661",2009,"Adaptive {H}ausdorff estimation of density level sets",1
"307","10.1214/08-AOS674",2009,"Asymptotic normality of the quasi-maximum likelihood estimator for multidimensional causal processes",0
"308","10.1214/08-AOS636",2009,"Local linear quantile estimation for nonstationary time series",2
"309","10.1214/08-AOS590",2009,"On maxima of periodograms of stationary processes",1
"310","10.1214/08-AOS678",2009,"Adaptive {B}ayesian estimation using a {G}aussian random field with inverse gamma bandwidth",3
"311","10.1214/07-AOS577",2009,"Improving {SAMC} using smoothing methods: theory and applications to {B}ayesian model selection problems",1
"312","10.1214/07-AOS575",2009,"Nonparametric regression, confidence regions and regularization",2
