Title,Year
Posterior contraction in sparse Bayesian factor models for massive covariance matrices,2014
Posterior consistency in conditional distribution estimation,2013
Scalable and robust Bayesian inference via the median posterior,2014
Bayesian semiparametric structural equation models with latent variables,2010
The matrix stick-breaking process: flexible Bayes meta-analysis,2008
Methodologic and statistical approaches to studying human fertility and environmental exposure.,2004
Nonparametric Bayes dynamic modelling of relational data,2014
Logistic stick-breaking process,2011
Bayesian generalized product partition model,2010
Bayesian nonparametric functional data analysis through density estimation,2009
Assessing human fertility using several markers of ovulation,2001
Bayesian kernel mixtures for counts,2011
Cervical mucus secretions on the day of intercourse: an accurate marker of highly fertile days,2006
Bayesian geostatistical modelling with informative sampling locations,2011
Effects of sexual intercourse patterns in time to pregnancy studies,2007
Enteropathy-associated T cell lymphoma subtypes are characterized by loss of function of SETD2,2017
Robust Bayesian inference via coarsening,2019
Bayesian semiparametric dynamic frailty models for multiple event time data,2006
Bayesian semiparametric joint models for functional predictors,2009
Multi-task compressive sensing with Dirichlet process priors,2008
Bayesian models for multivariate current status data with informative censoring,2002
Simplex factor models for multivariate unordered categorical data,2012
Antiretroviral therapy effects on genetic and morphologic end points in lymphocytes and sperm of men with human immunodeficiency virus infection,2001
Bayesian inference and testing of group differences in brain networks,2018
"A Bayesian model for simultaneous image clustering, annotation and object segmentation",2009
Bayesian monotone regression using Gaussian process projection,2014
A Bayesian model for fecundability and sterility,2000
Nonparametric Bayesian density estimation on manifolds with applications to planar shapes,2010
Using joint species distribution models for evaluating how species‐to‐species associations depend on the environmental context,2017
Bayesian factorizations of big sparse tensors,2015
Semiparametric Bayes hierarchical models with mean and variance constraints,2010
"Uterine leiomyomata in relation to insulin-like growth factor-I, insulin, and diabetes",2009
Scalable Bayes via barycenter in Wasserstein space,2018
Bayesian semiparametric isotonic regression for count data,2005
A Foxp2 mutation implicated in human speech deficits alters sequencing of ultrasonic vocalizations in adult male mice,2016
Parallelizing MCMC with random partition trees,2015
Bayesian shrinkage,2012
Bayesian structural equation modeling,2005
Multichannel electrophysiological spike sorting via joint dictionary learning and mixture modeling,2013
Posterior consistency in linear models under shrinkage priors,2013
Bayesian inferences on predictors of conception probabilities,2005
Bayesian compressed regression,2015
Nonparametric Bayesian matrix completion,2010
Bayesian conditional tensor factorizations for high-dimensional classification,2016
Dysregulation of prefrontal cortex-mediated slow-evolving limbic dynamics drives stress-induced emotional pathology,2016
Nonparametric Bayes local partition models for random effects,2009
Hierarchical kernel stick-breaking process for multi-task image analysis,2008
Anisotropic function estimation using multi-bandwidth Gaussian processes,2014
Latent stick-breaking processes,2010
The hierarchical beta process for convolutional factor analysis and deep learning,201
Bayesian nonparametric inference on stochastic ordering,2008
Improving prediction from Dirichlet process mixtures via enrichment,2014
Bayesian inference of the number of factors in gene-expression analysis: application to human virus challenge studies,2010
Dynamic nonparametric Bayesian models for analysis of music,2010
Modeling human fertility in the presence of measurement error,2000
Bayesian adaptive regression splines for hierarchical data,2007
Bayesian manifold regression,2016
Multiresolution gaussian processes,2012
Bayesian selection of optimal rules for timing intercourse to conceive by using calendar and mucus,2007
Impaired limbic gamma oscillatory synchrony during anxiety-related behavior in a genetic mouse model of bipolar mania,2011
Bayesian nonparametric covariance regression,2015
Bayesian modeling of the level and duration of fertility in the menstrual cycle,2001
Effect of A1C and glucose on postoperative mortality in noncardiac and cardiac surgeries,2018
Boosting variational inference,2016
Semiparametric Bayes' proportional odds models for current status data with underreporting,2011
Bayesian nonparametric covariance regression,2011
The matrix stick-breaking process for flexible multi-task learning,2007
Repulsive mixtures,2012
Bayesian tensor regression,2017
Bayesian variable selection in quantile regression,2013
Bayesian inference on changes in response densities over predictor clusters,2008
Bayesian methods for latent trait modelling of longitudinal data,2007
"Simple, scalable and accurate posterior interval estimation",2017
The kernel beta process,2011
Bayesian semiparametric multiple shrinkage,2010
Bayesian hierarchical functional data analysis via contaminated informative priors,2009
Bayesian multivariate isotonic regression splines: Applications to carcinogenicity studies,2007
Luteinizing hormone in premenopausal women may stimulate uterine leiomyomata development,2006
Bayesian latent variable models for median regression on multiple outcomes,2003
A transformation approach for incorporating monotone or unimodal constraints,2005
Bayesian model selection and averaging in additive and proportional hazards models,2005
Approximations of Markov chains and high-dimensional Bayesian inference,2015
Learning low-dimensional signal models,2011
How are species interactions structured in species-rich communities? A new method for analysing time-series data,2017
Predicting viral infection from high-dimensional biomarker trajectories,2011
Approximate dynamic programming for storage problems,2011
Reduced fertilization rates in older men when cervical mucus is suboptimal,2005
Some issues in assessing human fertility,2000
Variational gaussian copula inference,2016
Joint analysis of time-evolving binary matrices and associated documents,2010
Random effect and latent variable model selection,2008
Bayesian latent factor regression for functional and longitudinal data,2012
Classification with incomplete data using dirichlet process priors,2010
Bayesian inferences on umbrella orderings,2005
Bayes variable selection in semiparametric linear models,2014
Bayesian methods for searching for optimal rules for timing intercourse to achieve pregnancy,2007
Topical and oral administration of the natural water-soluble antioxidant from spinach reduces the multiplicity of papillomas in the Tg. AC mouse model,2001
"Factors influencing growth and survival of the killifish, Rivulus marmoratus, held inside enclosures in mangrove swamps",1999
Statistics in the big data era: Failures of the machine,2018
Extrinsic local regression on manifold-valued data,2017
Median selection subset aggregation for parallel inference,2014
Strong consistency of nonparametric Bayes density estimation on compact metric spaces with applications to specific manifolds,2012
Ensemble methods for convex regression with applications to geometric programming based circuit design,2012
Modeling tumor onset and multiplicity using transition models with latent variables,1999
Mapping population-based structural connectomes,2018
Factor analytic models of clustered multivariate data with informative censoring,2001
Nonparametric Bayes modeling with sample survey weights,2016
Bayesian graphical models for multivariate functional data,2016
Locally adaptive dynamic networks,2016
Nonparametric Bayes classification and hypothesis testing on manifolds,2012
Semiparametric Bayesian latent trajectory models,2006
Selecting factors predictive of heterogeneity in multivariate event time data,2004
Bayesian incidence analysis of animal tumorigenicity data,2001
Statistical analysis of skin tumor data from Tg. AC mouse bioassays,2000
A comprehensive evaluation of predictive performance of 33 species distribution models at species and community levels,2019
Tensor decompositions and sparse log-linear models,2017
Bayesian conditional density filtering,2014
Bayesian crack detection in ultra high resolution multimodal images of paintings,2013
Nonparametric Bayes kernel-based priors for functional data analysis,2009
Bayesian hierarchically weighted finite mixture models for samples of distributions,2009
Multi-task learning for sequential data via iHMMs and the nested Dirichlet process,2007
Distinguishing effects on tumor multiplicity and growth rate in chemoprevention experiments,2000
Locally adaptive Bayes nonparametric regression via nested Gaussian processes,2013
Bayesian modeling of markers of day-specific fertility,2003
Exploiting big data in logistics risk assessment via bayesian nonparametrics,2017
Benchmark pregnancy rates and the assessment of post-coital contraceptives: an update,2015
Bayesian modeling of temporal dependence in large sparse contingency tables,2013
Estimation of order-restricted means from correlated data,2005
Accounting for unreported and missing intercourse in human fertility studies,2000
DECOrrelated feature space partitioning for distributed sparse regression,2016
Marginally specified priors for non‐parametric Bayesian estimation,2015
Bayesian nonparametric multivariate convex regression,2011
Bayesian Non-Parametrics,2010
Bayesian nonparametric hierarchical modeling,2009
Nonparametric Bayes testing of changes in a response distribution with an ordinal predictor,2008
Bayesian model selection in factor analytic models,2008
Fitting semiparametric random effects models to large data sets,2007
Bayesian nonparametric regression with varying residual density,2014
Locally adaptive factor processes for multivariate time series,2014
Functional clustering in nested designs: modeling variability in reproductive epidemiology studies,2014
Hierarchical latent dictionaries for models of brain activation,2012
Efficient Bayesian model averaging in factor analysis,2006
Bayesian Inferences in the Cox Model for Order‐Restricted Hypotheses,2003
"Inhibitory effect of low salinity on growth and reproduction of the estuarine sheepshead minnow, Cyprinodon variegatus",1998
Discontinuous Hamiltonian Monte Carlo for discrete parameters and discontinuous likelihoods,2017
Subspace segmentation by dense block and sparse representation,2016
Bayesian dynamic financial networks with time-varying predictors,2014
Bayesian multivariate mixed-scale density estimation,2011
Semiparametric classification in hierarchical functional data analysis,2005
Improving risk assessment: Research opportunities in dose response modeling to improve risk assessment,2002
A proportional hazards model for incidence and induced remission of disease,2002
A hybrid Bayesian approach for genome-wide association studies on related individuals,2015
Latent factor models for density estimation,2014
Multi-task learning for analyzing and sorting large databases of sequential data,2008
Bayesian selection of predictors of conception probabilities across the menstrual cycle,2006
Bayesian Modeling of Incidence and Progression of Disease from Cross‐Sectional Data,2002
Bayesian analysis of mutational spectra,2000
Summarizing the motion of self‐propelled cells: Applications to sperm motility,1999
MCMC for imbalanced categorical data,2019
Data augmentation for models based on rejection sampling,2016
Geometrically tempered hamiltonian monte carlo,2016
Lipid adjustment for chemical exposures: accounting for concomitant variables,2013
Diagonal orthant multinomial probit models,2013
Bayesian learning of joint distributions of objects,2013
Bayesian generalized double Pareto shrinkage,2010
Spatio-temporal modeling of legislation and votes,2013
Path following and empirical Bayes model selection for sparse regression,2012
Bayesian isotonic density regression,2011
A flexible parametric model for combining current status and age at first diagnosis data,2001
Nonparametric Bayes inference on conditional independence,2016
Minimax optimal Bayesian aggregation,2014
Sequential markov chain monte carlo,2013
Nonparametric Bayesian segmentation of a multivariate inhomogeneous space-time Poisson process,2012
Multivariate kernel partition process mixtures,2010
Two-level stochastic search variable selection in GLMs with missing predictors,2010
Empirical Bayes density regression,2007
Bayesian isotonic regression for discrete outcomes,2004
Modeling of changes in tumor burden,2001
Models for papilloma multiplicity and regression: applications to transgenic mouse studies,2000
Dose-dependent number of implants and implications in developmental toxicity,1998
Calibrated Data Augmentation for Scalable Markov Chain Monte Carlo,2017
Shared kernel Bayesian screening,2015
Enriched stick-breaking processes for functional data,2014
Bayesian logistic gaussian process models for dynamic networks,2014
High-dimensional longitudinal genomic data: an analysis used for monitoring viral infections,2011
Bayesian modeling of time‐varying and waning exposure effects,2003
Tensor network factorizations: Relationships between brain structural connectomes and traits,2019
Common and individual structure of brain networks,2019
Wood‐inhabiting fungi with tight associations with other species have declined as a response to forest management,2017
Personalised estimation of a woman’s most fertile days,2016
Inefficiency of data augmentation for large sample imbalanced data,2016
Bayesian multiscale modeling of closed curves in point clouds,2014
Nonparametric Bayes stochastically ordered latent class models,2011
Sparse variational analysis of linear mixed models for large data sets,2011
Bayesian inference for genomic data integration reduces misclassification rate in predicting protein-protein interactions,2011
Posterior simulation across nonparametric models for functional clustering,2011
Bayesian variable selection via particle stochastic search,2011
Incorporating heterogeneous intercourse records into time to pregnancy models,2003
Recycling intermediate steps to improve Hamiltonian Monte Carlo,2018
Bayesian inference for Matérn repulsive processes,2017
Bayesian nonparametric modeling of higher order Markov chains,2016
Multiscale Bernstein polynomials for densities,2016
Digital cradle removal in X-ray images of art paintings,2014
Generalized dynamic factor models for mixed-measurement time series,2014
High‐Dimensional Variable Selection in Meta‐Analysis for Censored Data,2011
Tree-structured infinite sparse factor model,2011
Bayesian model uncertainty in mixed effects models,2008
Extrinsic Gaussian processes for regression and classification on manifolds,2019
Fast moment estimation for generalized latent Dirichlet models,2018
Bayesian network–response regression,2017
Rat intersubjective decisions are encoded by frequency‐specific oscillatory contexts,2017
Bayesian nonparametric inference on the Stiefel manifold,2017
Integrative genetic and clinical analysis through whole exome sequencing in 1001 diffuse large B cell lymphoma (DLBCL) patients reveals novel disease drivers and risk groups,2016
Uncovering systematic bias in ratings across categories: A Bayesian approach,2015
Semiconvex regression for metamodeling-based optimization,2014
Classification via Bayesian nonparametric learning of affine subspaces,2013
Adaptive dimension reduction with a Gaussian process prior,2011
Posterior simulation across nonparametric models for functional clustering,2006
Variable selection in nonparametric random effects models,2005
Bayesian estimation of survival functions under stochastic precedence,2004
Comparing and weighting imperfect models using D-probabilities,2019
Bayesian modelling of networks in complex business intelligence problems,2017
Theoretical limits of record linkage and microclustering,2017
Quantifying uncertainty in variable selection with arbitrary matrices,2015
Scalable approximations of marginal posteriors in variable selection,2015
Semiparametric Bernstein-von Mises Theorem: Second Order Studies,2015
On the consistency theory of high dimensional variable screening,2015
Mechanistic hierarchical Gaussian processes,2014
Nonparametric Bayes modelling of count processes,2013
Online variational Bayes inference for high-dimensional correlated data,2011
Semiparametric Bayes multiple testing: Applications to tumor data,2010
Bayesian variable selection in generalized linear mixed models,2008
Kernel local partition processes for functional data,2008
Bayesian Modeling of Multiple Lesion Onset and Growth from Interval‐Censored Data,2004
Relationships between human brain structural connectomes and traits,2018
Bayesian genome‐and epigenome‐wide association studies with gene level dependence,2017
Efficient manifold and subspace approximations with spherelets,2017
No penalty no tears: Least squares in high-dimensional linear models,2016
Scalable multiscale density estimation,2014
Finite sample posterior concentration in high-dimensional regression,2012
Single factor transformation priors for density regression,2011
Dynamic model for multivariate markers of fecundability,2010
Stochastically ordered multiple regression,2010
"Modelling multiple ovulation, fertilization, and embryo loss in human fertility studies",2001
Bayesian conditional density filtering,2018
Bayesian inference on quasi-sparse count data,2016
Compressed gaussian process for manifold regression,2016
Bayesian modeling of temporal properties of infectious disease in a college student population,2014
Learning phenotype densities conditional on many interacting predictors,2014
Bayesian Conditional Density Filtering,2014
Locally adaptive Bayesian covariance regression,2012
The multiple bayesian elastic net,2011
Bayesian multi-task compressive sensing with dirichlet process priors,2008
Modeling the effects of a bidirectional latent predictor from multivariate questionnaire data,2004
Bayesian constraint relaxation,2020
The whole-genome landscape of Burkitt lymphoma subtypes,2019
Nonparametric bayes models of fiber curves connecting brain regions,2019
Bayesian sparse linear regression with unknown symmetric error,2019
Symmetric bilinear regression for signal subgraph estimation,2019
Latent nested nonparametric priors (with discussion),2019
Bayesian semiparametric mixed effects markov models with application to vocalization syntax,2018
Bayesian multi-plate high-throughput screening of compounds,2018
Multiresolution tensor decomposition for multiple spatial passing networks,2018
Intrinsic Gaussian processes on complex constrained domains,2018
Expandable factor analysis,2017
Discontinuous Hamiltonian Monte Carlo for models with discrete parameters and discontinuous likelihoods,2017
Sub-optimality of some continuous shrinkage priors,2016
Online variational bayes inference for high-dimensional correlated data,2016
A framework for probabilistic inferences from imperfect models,2016
Scalable geometric density estimation,2016
Joint eQTL assessment of whole blood and dura mater tissue from individuals with Chiari type I malformation,2015
Parallel inversion of huge covariance matrices,2013
Analysis of space–time relational data with application to legislative voting,2013
Generalized admixture mapping for complex traits,2013
Multiscale dictionary learning for estimating conditional distributions,2013
Semiparametric Bayesian local functional models for diffusion tensor tract statistics,2012
Latent factor density regression models,2012
Posterior convergence rates in non-linear latent variable models,2011
Sparse variational analysis of large longitudinal data sets,2011
Topic modeling with nonparametric Markov tree,2011
Hierarchical topic modeling for analysis of time-evolving personal choices,2011
Bayesian nonparametric regression with varying residual density,2009
Performance of tests of association in misspecified generalized linear models,2006
Computationally efficient joint species distribution modeling of big spatial data,2019
Estimating densities with nonlinear support using Fisher-Gaussian kernels,2019
Geodesic distance estimation with spherelets,2019
Monte Carlo simulation on the Stiefel manifold via polar expansion,2019
Classification via local manifold approximation,2019
Convex mixture regression for quantitative risk assessment,2018
Bayesian Distance Clustering,2018
Removing the influence of a group variable in high-dimensional predictive modelling,2018
Random orthogonal matrices and the Cayley transform,2018
Theoretical limits of microclustering for record linkage,2018
Reducing over-clustering via the powered Chinese restaurant process,2018
Latent nested nonparametric priors,2018
Modular Bayes screening for high-dimensional predictors,2017
Nonparametric Bayes modeling for case control studies with many predictors,2016
Adaptive sampling for Bayesian geospatial models,2014
Stochastic volatility regression for functional data dynamics,2012
Bayesian local contamination models for multivariate outliers,2011
Nonparametric functional data analysis through Bayesian density estimation,2007
"Effects of topical and oral administration of natural water-soluble antioxidant, Nao, in skin Tg· ac mouse model using 12-o-tetrade-canoylphorbol-13-acetate (tpa) as tumor promoter",2001
The Hastings algorithm at fifty,2020
Efficient posterior sampling for high-dimensional imbalanced logistic regression,2019
Stochastic Lipschitz Q-Learning,2019
Bayesian cumulative shrinkage for infinite factorizations,2019
Constrained bayesian inference through posterior projections,2018
Bayesian modular and multiscale regression,2018
Non-Oscillatory Pattern Learning for Non-Stationary Signals,2018
Bayesian Nonparametric Higher Order Hidden Markov Models,2018
Active learning of cortical connectivity from two-photon imaging data,2018
Bayesian local extremum splines,2017
Unifying inference on brain network variations in neurological diseases: The Alzheimer's case,2015
Priors for High-Dimensional Sparse Poisson Means,2015
Probabilistic curve learning: Coulomb repulsion and the electrostatic Gaussian process,2015
Compressed gaussian process,2014
Nonparametric Bayes,2014
Two-sample testing with dirichlet mixtures,2013
Approximated Bayesian inference for massive streaming data,2013
Locally adaptive Bayesian multivariate time series,2013
The dynamic hierarchical Dirichlet process,2012
Covariate-dependent dictionary learning and sparse coding,2011
Flexible Bayes regression of epidemiologic data,2010
Music analysis with a Bayesian dynamic model,2009
Bayesian methods for assessing ordering in hazard functions,2007
Foreword. Expanding Methodologies for Capturing Day-Specific Probabilities of Conception.,2006
Studying Human Fertility: Response to Slama et al. and Joffe et al.,2004
Bayesian inferences on shape constrained hormone trajectories in the menstrual cycle,2003
Effect of antioxidants on the papilloma response and liver glutathione modulation mediated by arsenic in Tg. AC transgenic mice,2003
Diffusion based Gaussian process regression via heat kernel reconstruction,2019
Targeted random projection for prediction from high-dimensional features,2019
Approximating posteriors with high-dimensional nuisance parameters via integrated rotated Gaussian approximation,2019
Bayesian Hierarchical Factor Regression Models to Infer Cause of Death From Verbal Autopsy Data,2019
Report of the Editors—2018,2019
Nonparametric graphical model for counts,2019
On posterior consistency of tail index for Bayesian kernel mixture models,2019
Clustering-Enhanced Stochastic Gradient MCMC for Hidden Markov Models with Rare States,2018
BHTSpack: Bayesian Multi-Plate High-Throughput Screening of Compounds,2018
Extrema-weighted feature extraction for functional data,2018
Integrative Analysis of 1001 Diffuse Large B Cell Lymphoma Identifies Novel Oncogenic Roles for Rhoa,2017
Adaptive posterior convergence rates in non-linear latent variable models,2017
Variable length trajectory compressible hybrid Monte Carlo,2016
Bayesian Local Extrema Splines,2016
Removing Cradle Artifacts in X-ray images of paintings,2016
On Posterior Consistency of Tail Index for Bayesian Kernel Mixture Models,2015
Semiparametric Bayes local additive models for longitudinal data,2015
Finite sample posterior concentration in high-dimensional regression,2014
The genetic landscape of mantle cell lymphoma and the epigenetic origins of lineage specific mutations,2013
ID3 Is a Novel Tumor Suppressor Gene in Burkitt Lymphom,2012
Bayesian inference on dependence in multivariate longitudinal data,2012
Bayesian hierarchical modeling of simply connected 2D shapes,2012
Bayesian Analysis,2012
Corrections to “Compressive Sensing on Manifolds Using a Nonparametric Mixture of Factor Analyzers: Algorithm and Performance Bounds”[Dec 10 6140-6155],2011
Bayesian closed surface fitting through tensor products,2011
Functional Clustering in Nested Designs,2010
Multi-task classification with infinite local experts,2009
Comment on Article by Craigmile et al.,2009
Fast Bayesian Functional Data Analysis: Application to basal body temperature data,2009
Special issue of statistical methods in medical research on reproductive studies,2006
Bayesian semiparametric clustering of functional predictors,2006
Bayesian Biostatistics,2005
Molecular and genetic analyses of the mutant frequency of non-responder Tg. AC mice,2001
Erratum to''Topical and oral administration of the natural water-soluble antioxidant from spinach reduces the multiplicity of papillomas in the Tg. AC mouse model''-[Toxicol …,2001
Composite mixture of log-linear models for categorical data,2020
Distributed Bayesian clustering,2020
Bayesian Factor Analysis for Inference on Interactions,2020
Nearest Neighbor Dirichlet Process,2020
Projected t-SNE for batch correction,2020
Fiedler Regularization: Learning Neural Networks with Graph Sparsity,2020
Reproducible Bootstrap Aggregating,2020
Random orthogonal matrices and the Cayley transform,2020
Statistical Reports,2020
Centered Partition Processes: Informative Priors for Clustering,2020
Bayesian joint modeling of chemical structure and dose response curves,2019
Locally Convex Kernel Mixtures: Bayesian Subspace Learning,2019
Batch correction of high-dimensional data,2019
Auto-encoding graph-valued data with applications to brain connectomes,2019
Identifying main effects and interactions among exposures using Gaussian processes,2019
Soft Tensor Regression,2019
Perturbed factor analysis: Improving generalizability across studies,2019
Predicting Phenotypes from Brain Connection Structure,2019
Bayesian Factor Analysis for Estimating Chemical Interactions,2019
Approximating posteriors with high-dimensional nuisance parameters via integrated rotated Gaussian approximation,2019
Latent nested nonparametric priors,2019
Bayesian inferences on uncertain ranks and orderings,2019
Intrinsic Gaussian processes on complex constrained domains,2019
Bayesian time-aligned factor analysis of paired multivariate time series,2019
Efficient Entropy Estimation for Stationary Time Series,2019
Multivariate mixed membership modeling: Inferring domain-specific risk profiles,2019
Identifying vulnerable brain networks in mouse models of genetic risk factors for late onset Alzheimer’s disease,2019
Supervised Multiscale Dimension Reduction for Spatial Interaction Networks,2019
Maximum Pairwise Bayes Factors for Covariance Structure Testing,2018
Bayesian Higher Order Hidden Markov Models,2018
Bayesian Mosaic: Parallelizable Composite Posterior,2018
Rejoinder: Nonparametric Bayes Modeling of Populations of Networks,2017
Extrema-weighted feature extraction for functional data,2017
Bayesian inference for Matérn repulsive processes Series B Statistical methodology,2017
Toward Automated Prior Choice,2017
"Personalised estimation of a woman's most fertile days (vol 21, pg 323, 2017)",2017
Bayesian Functional Data Modeling for Heterogeneous Volatility,2017
SETD2 Functional Loss through Mutation or Genetic Deletion Promotes Expansion of Normal and Malignant γδ T Cells through Loss of Tumor Suppressor Function and Upregulation of …,2016
Bayesian Semiparametric Mixed Effects Markov Chains,2016
Bayesian nonparametric modeling of dynamic international relations,2016
Inference on High-Dimensional Sparse Count Data,2015
Scalable Approximations of Marginal Posteriors in Variable Selection,2015
Bayesian Regression with Network Predictors,2015
Chemical Genomics Reveals JAK STAT Activation As a Mechanism of Resistance to HDAC Inhibitors in B Cell Lymphomas,2014
A Bayesian Nonparametric Modeling Framework for Developmental Toxicity Studies Comment,2014
Prefrontal Cortex-amygdalar Circuit Dynamics Predict Stress Susceptibility,2014
Fertility Studies,2014
Transgenic Mouse Model,2014
Bayesian inference on the Stiefel manifold,2013
DISC1 Gene Locus Disruption Impairs Corticostriatal Circuit Function,2013
Learning Densities Conditional on Many Interacting Features,2013
A Bayesian nonparametric model for data on diﬀerent scales of measure; an application to customer base management of telecommunications companies.,2013
Adverse subpopulation regression for multivariate outcomes with high‐dimensional predictors,2012
The genetic landscape of immune-competent and HIV lymphoma,2012
Bayesian watermark attacks,2012
Supplemental Material For: Bayesian Local Extremum Splines,2012
on Malignancies in AIDS and Other Acquired Immunodeficiencies (ICMAOI),2012
A Bayesian nonparametric model for count functional data,2012
Density Estimation and Classification via Bayesian Nonparametric Learning of Affine Subspaces,2011
Nonparametric Bayesian Bioinformatics,2010
Are Chinese people really more fertile?,2010
"To search for subject areas, please see Biostatistics online at http://www. biostatistics. oxfordjournals. org, which is searchable across the volume.",2010
Variational Bayesian Logistic Regression Model Selection: An Improvement over Laplace?,2010
Bayesian Density Regression & Mixtures with Environmental Applications,2009
BAYESIAN HIERARCHICAL MODELING OF DOSE-RESPONSE CURVES,2009
Bayesianische Dichteregression,2009
Bayesian methods for time to pregnancy studies,2008
Flexible non-parametric estimation of dose-response curves,2008
Comment-Bivariate Binomial Spatial Modeling of Loa loa Prevalence in Tropical Africa,2008
Bayesian methods for highly correlated exposure data. Commentary,2007
Optimal rules for timing intercourse to achieve pregnancy,2006
Bayesian Methods for Highly Correlated Data: An Application to Disinfection By-Products Spontaneous Abortion,2006
The authors replied as follows,2006
"Rejoinder to"" Comments about Joint Modeling of Cluster Size and Binary and Continuous Subunit‐Specific Outcomes""",2005
Environmental contaminant exposure from consumption of fish-exposures and health consequences in the 21st century,2005
Bayesian isotonic regression in epidemiology.,2004
Symposium: Application of Bayesian methods in epidemiology.,2004
"Day-Specific Probabilities of Conception in the Menstrual Cycle Joseph B. Stanford, MD, MSPH",2004
Bayesian Inferences on Shape Constrained Hormone Trajectories In The...,2003
Uterine fibroids are common in middle aged women,2003
TwoDay Algorithm in predicting fertile time,2002
Biostatistics-Referees of Papers First Submitted in,2002
Variable selection in quantile regression via Gibbs sampling.,2001
