Title,Year
Bayesian Biostatistics,2005
"Rejoinder to"" Comments about Joint Modeling of Cluster Size and Binary and Continuous Subunit‐Specific Outcomes""",2005
Environmental contaminant exposure from consumption of fish-exposures and health consequences in the 21st century,2005
Bayesian dynamic modeling of latent trait distributions,2006
Bayesian covariance selection in generalized linear mixed models,2006
Cervical mucus secretions on the day of intercourse: an accurate marker of highly fertile days,2006
Bayesian semiparametric dynamic frailty models for multiple event time data,2006
Luteinizing hormone in premenopausal women may stimulate uterine leiomyomata development,2006
Semiparametric Bayesian latent trajectory models,2006
Efficient Bayesian model averaging in factor analysis,2006
Bayesian selection of predictors of conception probabilities across the menstrual cycle,2006
Posterior simulation across nonparametric models for functional clustering,2006
Performance of tests of association in misspecified generalized linear models,2006
Foreword. Expanding Methodologies for Capturing Day-Specific Probabilities of Conception.,2006
Special issue of statistical methods in medical research on reproductive studies,2006
Bayesian semiparametric clustering of functional predictors,2006
Optimal rules for timing intercourse to achieve pregnancy,2006
Bayesian Methods for Highly Correlated Data: An Application to Disinfection By-Products Spontaneous Abortion,2006
The authors replied as follows,2006
Bayesian density regression,2007
Fixed and random effects selection in linear and logistic models,2007
Bayesian methods for highly correlated exposure data,2007
Association of physical activity with development of uterine leiomyoma,2007
Bayesian structural equation modeling,2007
Effects of sexual intercourse patterns in time to pregnancy studies,2007
Bayesian adaptive regression splines for hierarchical data,2007
Bayesian selection of optimal rules for timing intercourse to conceive by using calendar and mucus,2007
The matrix stick-breaking process for flexible multi-task learning,2007
Bayesian methods for latent trait modelling of longitudinal data,2007
Bayesian multivariate isotonic regression splines: Applications to carcinogenicity studies,2007
Bayesian methods for searching for optimal rules for timing intercourse to achieve pregnancy,2007
Multi-task learning for sequential data via iHMMs and the nested Dirichlet process,2007
Fitting semiparametric random effects models to large data sets,2007
Empirical Bayes density regression,2007
Nonparametric functional data analysis through Bayesian density estimation,2007
Bayesian methods for assessing ordering in hazard functions,2007
Bayesian methods for highly correlated exposure data. Commentary,2007
Multitask compressive sensing,2008
The nested Dirichlet process,2008
Kernel stick-breaking processes,2008
The dynamic hierarchical Dirichlet process,2008
"Prospective study of breast-feeding in relation to wheeze, atopy, and bronchial hyperresponsiveness in the Avon Longitudinal Study of Parents and Children (ALSPAC)",2008
Bayesian selection and clustering of polymorphisms in functionally related genes,2008
The matrix stick-breaking process: flexible Bayes meta-analysis,2008
Multi-task compressive sensing with Dirichlet process priors,2008
Hierarchical kernel stick-breaking process for multi-task image analysis,2008
Bayesian nonparametric inference on stochastic ordering,2008
Bayesian inference on changes in response densities over predictor clusters,2008
Random effect and latent variable model selection,2008
Nonparametric Bayes testing of changes in a response distribution with an ordinal predictor,2008
Bayesian model selection in factor analytic models,2008
Multi-task learning for analyzing and sorting large databases of sequential data,2008
Bayesian model uncertainty in mixed effects models,2008
Bayesian variable selection in generalized linear mixed models,2008
Kernel local partition processes for functional data,2008
Bayesian multi-task compressive sensing with dirichlet process priors,2008
Bayesian methods for time to pregnancy studies,2008
Flexible non-parametric estimation of dose-response curves,2008
Comment-Bivariate Binomial Spatial Modeling of Loa loa Prevalence in Tropical Africa,2008
Nonparametric Bayes modeling of multivariate categorical data,2009
Nonparametric Bayes conditional distribution modeling with variable selection,2009
Default prior distributions and efficient posterior computation in Bayesian factor analysis,2009
Bayesian nonparametric functional data analysis through density estimation,2009
Bayesian semiparametric joint models for functional predictors,2009
"A Bayesian model for simultaneous image clustering, annotation and object segmentation",2009
"Uterine leiomyomata in relation to insulin-like growth factor-I, insulin, and diabetes",2009
Nonparametric Bayes local partition models for random effects,2009
Bayesian hierarchical functional data analysis via contaminated informative priors,2009
Nonparametric Bayes kernel-based priors for functional data analysis,2009
Bayesian hierarchically weighted finite mixture models for samples of distributions,2009
Bayesian nonparametric hierarchical modeling,2009
Bayesian nonparametric regression with varying residual density,2009
Music analysis with a Bayesian dynamic model,2009
Multi-task classification with infinite local experts,2009
Comment on Article by Craigmile et al.,2009
Fast Bayesian Functional Data Analysis: Application to basal body temperature data,2009
Bayesian Density Regression & Mixtures with Environmental Applications,2009
BAYESIAN HIERARCHICAL MODELING OF DOSE-RESPONSE CURVES,2009
Bayesianische Dichteregression,2009
Probabilistic topic models,2010
Compressive sensing on manifolds using a nonparametric mixture of factor analyzers: Algorithm and performance bounds,2010
Nonparametric Bayes applications to biostatistics,2010
Bayesian semiparametric structural equation models with latent variables,2010
Bayesian generalized product partition model,2010
Nonparametric Bayesian density estimation on manifolds with applications to planar shapes,2010
Semiparametric Bayes hierarchical models with mean and variance constraints,2010
Nonparametric Bayesian matrix completion,2010
Latent stick-breaking processes,2010
Bayesian inference of the number of factors in gene-expression analysis: application to human virus challenge studies,2010
Dynamic nonparametric Bayesian models for analysis of music,2010
Bayesian semiparametric multiple shrinkage,2010
Joint analysis of time-evolving binary matrices and associated documents,2010
Classification with incomplete data using dirichlet process priors,2010
Bayesian Non-Parametrics,2010
Bayesian generalized double Pareto shrinkage,2010
Multivariate kernel partition process mixtures,2010
Two-level stochastic search variable selection in GLMs with missing predictors,2010
Semiparametric Bayes multiple testing: Applications to tumor data,2010
Dynamic model for multivariate markers of fecundability,2010
Stochastically ordered multiple regression,2010
Flexible Bayes regression of epidemiologic data,2010
Functional Clustering in Nested Designs,2010
Nonparametric Bayesian Bioinformatics,2010
Are Chinese people really more fertile?,2010
"To search for subject areas, please see Biostatistics online at http://www. biostatistics. oxfordjournals. org, which is searchable across the volume.",2010
Variational Bayesian Logistic Regression Model Selection: An Improvement over Laplace?,2010
Nonparametric Bayesian dictionary learning for analysis of noisy and incomplete images,2011
Sparse Bayesian infinite factor models,2011
Bayesian spatial quantile regression,2011
Nonparametric Bayesian models through probit stick-breaking processes,2011
Generalized beta mixtures of Gaussians,2011
Fast Bayesian inference in Dirichlet process mixture models,2011
The local Dirichlet process,2011
Dependent hierarchical beta process for image interpolation and denoising,2011
Logistic stick-breaking process,2011
Bayesian kernel mixtures for counts,2011
Bayesian geostatistical modelling with informative sampling locations,2011
Impaired limbic gamma oscillatory synchrony during anxiety-related behavior in a genetic mouse model of bipolar mania,2011
Semiparametric Bayes' proportional odds models for current status data with underreporting,2011
Bayesian nonparametric covariance regression,2011
The kernel beta process,2011
Learning low-dimensional signal models,2011
Predicting viral infection from high-dimensional biomarker trajectories,2011
Approximate dynamic programming for storage problems,2011
Bayesian nonparametric multivariate convex regression,2011
Bayesian multivariate mixed-scale density estimation,2011
Bayesian isotonic density regression,2011
High-dimensional longitudinal genomic data: an analysis used for monitoring viral infections,2011
Nonparametric Bayes stochastically ordered latent class models,2011
Sparse variational analysis of linear mixed models for large data sets,2011
Bayesian inference for genomic data integration reduces misclassification rate in predicting protein-protein interactions,2011
Posterior simulation across nonparametric models for functional clustering,2011
Bayesian variable selection via particle stochastic search,2011
High‐Dimensional Variable Selection in Meta‐Analysis for Censored Data,2011
Tree-structured infinite sparse factor model,2011
Adaptive dimension reduction with a Gaussian process prior,2011
Online variational Bayes inference for high-dimensional correlated data,2011
Single factor transformation priors for density regression,2011
The multiple bayesian elastic net,2011
Posterior convergence rates in non-linear latent variable models,2011
Sparse variational analysis of large longitudinal data sets,2011
Topic modeling with nonparametric Markov tree,2011
Hierarchical topic modeling for analysis of time-evolving personal choices,2011
Bayesian local contamination models for multivariate outliers,2011
Covariate-dependent dictionary learning and sparse coding,2011
Corrections to “Compressive Sensing on Manifolds Using a Nonparametric Mixture of Factor Analyzers: Algorithm and Performance Bounds”[Dec 10 6140-6155],2011
Bayesian closed surface fitting through tensor products,2011
Density Estimation and Classification via Bayesian Nonparametric Learning of Affine Subspaces,2011
The genetic landscape of mutations in Burkitt lymphoma,2012
Beta-negative binomial process and Poisson factor analysis,2012
Lognormal and gamma mixed negative binomial regression,2012
Simplex factor models for multivariate unordered categorical data,2012
Bayesian shrinkage,2012
Multiresolution gaussian processes,2012
Repulsive mixtures,2012
Bayesian latent factor regression for functional and longitudinal data,2012
Strong consistency of nonparametric Bayes density estimation on compact metric spaces with applications to specific manifolds,2012
Ensemble methods for convex regression with applications to geometric programming based circuit design,2012
Nonparametric Bayes classification and hypothesis testing on manifolds,2012
Hierarchical latent dictionaries for models of brain activation,2012
Path following and empirical Bayes model selection for sparse regression,2012
Nonparametric Bayesian segmentation of a multivariate inhomogeneous space-time Poisson process,2012
Finite sample posterior concentration in high-dimensional regression,2012
Locally adaptive Bayesian covariance regression,2012
Semiparametric Bayesian local functional models for diffusion tensor tract statistics,2012
Latent factor density regression models,2012
Stochastic volatility regression for functional data dynamics,2012
The dynamic hierarchical Dirichlet process,2012
ID3 Is a Novel Tumor Suppressor Gene in Burkitt Lymphom,2012
Bayesian inference on dependence in multivariate longitudinal data,2012
Bayesian hierarchical modeling of simply connected 2D shapes,2012
Bayesian Analysis,2012
Adverse subpopulation regression for multivariate outcomes with high‐dimensional predictors,2012
The genetic landscape of immune-competent and HIV lymphoma,2012
Bayesian watermark attacks,2012
Supplemental Material For: Bayesian Local Extremum Splines,2012
on Malignancies in AIDS and Other Acquired Immunodeficiencies (ICMAOI),2012
A Bayesian nonparametric model for count functional data,2012
